id	name	phone	type
623	` lemongrass grill '	718-399-7100	thai
624	` lombardi \ 's '	212-941-7994	pizza
625	` marnie \ 's noodle shop '	212-741-3214	asian
626	menchanko-tei	212-247-1585	japanese
627	` mitali east-west '	212-989-1367	indian
628	` monsoon ( ny ) '	212-580-8686	thai
629	moustache	718-852-5555	` middle eastern '
630	nobu	212-219-0500	japanese
631	` one if by land tibs '	212-228-0822	continental
632	` oyster bar '	212-490-6650	seafood
633	palm	212-687-2953	steakhouses
634	` palm too '	212-697-5198	steakhouses
635	` patsy \ 's pizza '	718-858-4300	pizza
636	` peter luger steak house '	718-387-7400	steakhouses
637	` rose of india '	212-533-5011	indian
638	` sam \ 's noodle shop '	212-213-2288	chinese
639	` sarabeth \ 's '	212-410-7335	american
640	` sparks steak house '	212-687-4855	steakhouses
641	` stick to your ribs '	718-937-3030	bbq
642	sushisay	212-755-1780	japanese
643	` sylvia \ 's '	212-996-0660	southern/soul
644	` szechuan hunan cottage '	212-535-5223	chinese
645	` szechuan kitchen '	212-249-4615	chinese
646	` teresa \ 's '	718-520-2910	polish
647	` thai house cafe '	212-334-1085	thai
648	` thailand restaurant '	212-349-3132	thai
649	veselka	212-228-9682	ukrainian
650	` westside cottage '	212-245-0800	chinese
651	` windows on the world '	212-524-7000	eclectic
652	` wollensky \ 's grill '	212-753-0444	steakhouses
653	yama	212-475-0969	japanese
654	zarela	212-644-6740	mexican
655	` andre \ 's french restaurant '	702-385-5016	` french ( classic ) '
656	` buccaneer bay club '	702-894-7350	continental
657	` buzio \ 's in the rio '	702-252-7697	seafood
658	'em eril \ 's new orleans fish house '	702-891-7374	seafood
659	` fiore rotisserie & grille '	702-252-7702	italian
660	` hugo \ 's cellar '	702-385-4011	continental
661	` madame ching \ 's '	702-894-7111	asian
662	` mayflower cuisinier '	702-870-8432	chinese
663	` michael \ 's ( las vegas ) '	702-737-7111	continental
664	` monte carlo '	702-733-4524	` french ( new ) '
665	moongate	702-791-7352	chinese
666	` morton \ 's of chicago ( las vegas ) '	702-893-0703	steakhouses
667	` nicky blair \ 's '	702-792-9900	italian
668	` piero \ 's restaurant '	702-369-2305	italian
669	` spago ( las vegas ) '	702-369-6300	californian
670	` steakhouse the '	702-382-1600	steakhouses
671	` stefano \ 's '	702-385-7111	italian
672	` sterling brunch '	702-739-4651	eclectic
673	` tre visi '	702-891-7331	italian
674	' 103 west '	404-233-5993	continental
675	` alon \ 's at the terrace '	404-724-0444	sandwiches
676	` baker \ 's cajun cafe '	404-223-5039	cajun/creole
677	` barbecue kitchen '	404-766-9906	bbq
678	` bistro the '	404-231-5733	` french bistro '
679	` bobby & june \ 's kountry kitchen '	404-876-3872	southern/soul
680	` bradshaw \ 's restaurant '	404-261-7015	southern/soul
681	` brookhaven cafe '	404-231-5907	vegetarian
682	` cafe sunflower '	404-256-1675	` health food '
683	canoe	770-432-2663	` american ( new ) '
684	` carey \ 's '	770-422-8042	hamburgers
685	` carey \ 's corner '	770-933-0909	hamburgers
686	chops	404-262-2675	steakhouses
687	chopstix	404-255-4868	chinese
688	` deacon burton \ 's soulfood restaurant '	404-523-1929	southern/soul
689	eats	404-888-9149	italian
690	` flying biscuit the '	404-687-8888	eclectic
691	frijoleros	404-892-8226	tex-mex
692	` greenwood \ 's '	770-992-5383	southern/soul
693	` harold \ 's barbecue '	404-627-9268	bbq
694	` havana sandwich shop '	404-636-4094	cuban
695	` house of chan '	770-955-9444	chinese
696	` indian delights '	100-813-8212	indian
697	` java jive '	404-876-6161	` coffee shops '
698	` johnny rockets ( at ) '	770-955-6068	american
699	` kalo \ 's coffee house '	404-325-3733	coffeehouses
700	` la fonda latina '	404-303-8201	spanish
701	` lettuce souprise you ( at ) '	770-418-9969	cafeterias
702	majestic	404-875-0276	diners
703	` morton \ 's of chicago ( atlanta ) '	404-577-4366	steakhouses
704	` my thai '	404-636-4280	thai
705	nava	404-240-1984	southwestern
706	` nuevo laredo cantina '	404-352-9009	mexican
707	` original pancake house ( at ) '	404-237-4116	american
708	` palm the ( atlanta ) '	404-814-1955	steakhouses
709	` rainbow restaurant '	404-633-3538	vegetarian
710	riviera	404-262-7112	mediterranean
711	` silver skillet the '	404-874-1388	` coffee shops '
712	soto	404-233-2005	japanese
713	` thelma \ 's kitchen '	404-688-5855	cafeterias
714	tortillas	404-892-0193	tex-mex
715	` van gogh \ 's restaurant & bar '	770-993-1156	` american ( new ) '
716	veggieland	404-231-3111	vegetarian
717	` white house restaurant '	404-237-7601	diners
718	zab-e-lee	404-768-2705	thai
719	` bill \ 's place '	415-221-5262	hamburgers
720	` cafe flore '	415-621-8579	californian
721	` caffe greco '	415-397-6261	continental
722	` campo santo '	415-433-9623	mexican
723	` cha cha cha \ 's '	415-386-5758	caribbean
724	` doidge \ 's '	415-921-2149	american
725	` dottie \ 's true blue cafe '	415-885-2767	diners
726	` dusit thai '	415-826-4639	thai
727	ebisu	415-566-1770	japanese
728	'em erald garden restaurant '	415-673-1155	vietnamese
729	` eric \ 's chinese restaurant '	415-282-0919	chinese
730	` hamburger mary \ 's '	415-626-1985	hamburgers
731	` kelly \ 's on trinity '	415-362-4454	californian
732	` la cumbre '	415-863-8205	mexican
733	` la mediterranee '	415-431-7210	mediterranean
734	` la taqueria '	415-285-7117	mexican
735	` mario \ 's bohemian cigar store cafe '	415-776-8226	italian
736	` marnee thai '	415-665-9500	thai
737	` mel \ 's drive-in '	415-387-2244	hamburgers
738	` mo \ 's burgers '	415-788-3779	hamburgers
739	` phnom penh cambodian restaurant '	415-775-5979	cambodian
740	` roosevelt tamale parlor '	415-550-9213	mexican
741	` sally \ 's cafe & bakery '	415-626-6006	american
742	` san francisco bbq '	415-431-8956	thai
743	` slanted door '	415-861-8032	vietnamese
744	` swan oyster depot '	415-673-1101	seafood
745	` thep phanom '	415-431-2526	thai
746	` ti couz '	415-252-7373	french
747	` trio cafe '	415-563-2248	american
748	` tu lan '	415-626-0927	vietnamese
749	` vicolo pizzeria '	415-863-2382	pizza
750	` wa-ha-ka oaxaca mexican grill '	415-775-1055	mexican
751	` arnie morton \ 's of chicago '	310-246-1501	steakhouses
752	` art \ 's deli '	818-762-1221	delis
753	` bel-air hotel '	310-472-1211	californian
754	` cafe bizou '	818-788-3536	` french bistro '
755	campanile	213-938-1447	californian
756	` chinois on main '	310-392-9025	` pacific new wave '
757	citrus	213-857-0034	californian
758	` fenix at the argyle '	213-848-6677	` french ( new ) '
759	granita	310-456-0488	californian
760	` grill the '	310-276-0615	` american ( traditional ) '
761	katsu	213-665-1891	japanese
762	` l \ ` orangerie '	310-652-9770	` french ( classic ) '
763	` le chardonnay ( los angeles ) '	213-655-8880	` french bistro '
764	` locanda veneta '	310-274-1893	italian
765	matsuhisa	310-659-9639	seafood
766	` palm the ( los angeles ) '	310-550-8811	steakhouses
767	patina	213-467-1108	californian
768	` philippe the original '	213-628-3781	cafeterias
769	` pinot bistro '	818-990-0500	` french bistro '
770	` rex il ristorante '	213-627-2300	` nuova cucina italian '
771	` spago ( los angeles ) '	310-652-4025	californian
772	valentino	310-829-4313	italian
773	` yujean kang \ 's '	818-585-0855	chinese
774	'21 club '	212-582-7200	` american ( new ) '
775	aquavit	212-307-7311	scandinavian
776	aureole	212-319-1660	` american ( new ) '
777	` cafe lalo '	212-496-6031	coffeehouses
778	` cafe des artistes '	212-877-3500	` french ( classic ) '
779	` carmine \ 's '	212-362-2200	italian
780	` carnegie deli '	212-757-2245	delis
781	chanterelle	212-966-6960	` french ( new ) '
782	daniel	212-288-0033	` french ( new ) '
783	dawat	212-355-7555	indian
784	felidia	212-758-1479	italian
785	` four seasons '	212-754-9494	` american ( new ) '
786	` gotham bar & grill '	212-620-4020	` american ( new ) '
787	` gramercy tavern '	212-477-0777	` american ( new ) '
788	` island spice '	212-765-1737	caribbean
789	` jo jo '	212-223-5656	` french bistro '
790	` la caravelle '	212-586-4252	` french ( classic ) '
791	` la cote basque '	212-688-6525	` french ( classic ) '
792	` le bernardin '	212-489-1515	seafood
793	` les celebrites '	212-484-5113	` french ( classic ) '
794	` lespinasse ( new york city ) '	212-339-6719	asian
795	lutece	212-752-2225	` french ( classic ) '
796	` manhattan ocean club '	212-371-7777	seafood
797	march	212-754-6272	` american ( new ) '
798	` mesa grill '	212-807-7400	southwestern
799	` mi cocina '	212-627-8273	mexican
800	montrachet	212-219-2777	` french bistro '
801	oceana	212-759-5941	seafood
802	` park avenue cafe ( new york city ) '	212-644-1900	` american ( new ) '
803	petrossian	212-245-2214	russian
804	picholine	212-724-8585	mediterranean
805	pisces	212-260-6660	seafood
806	` rainbow room '	212-632-5000	` american ( new ) '
807	` river cafe '	718-522-5200	` american ( new ) '
808	` san domenico '	212-265-5959	italian
809	` second avenue deli '	212-677-0606	delis
810	seryna	212-980-9393	japanese
811	` shun lee palace '	212-371-8844	chinese
812	` sign of the dove '	212-861-8080	` american ( new ) '
813	` smith & wollensky '	212-753-1530	steakhouses
814	` tavern on the green '	212-873-3200	` american ( new ) '
815	` uncle nick \ 's '	212-245-7992	greek
816	` union square cafe '	212-243-4020	` american ( new ) '
817	` virgil \ 's real bbq '	212-921-9494	bbq
818	` chin \ 's '	702-733-8899	chinese
819	` coyote cafe ( las vegas ) '	702-891-7349	southwestern
820	` le montrachet bistro '	702-732-5651	` french bistro '
821	` palace court '	702-731-7110	` french ( new ) '
822	` second street grill '	702-385-6277	` pacific rim '
823	` steak house the '	702-734-0410	steakhouses
824	'till erman the '	702-731-4036	steakhouses
825	abruzzi	404-261-8186	italian
826	bacchanalia	404-365-0410	californian
827	` bone \ 's restaurant '	404-237-2663	steakhouses
828	` brasserie le coze '	404-266-1440	` french bistro '
829	` buckhead diner '	404-262-3336	` american ( new ) '
830	` ciboulette restaurant '	404-874-7600	` french ( new ) '
831	delectables	404-681-2909	cafeterias
832	` georgia grille '	404-352-3517	southwestern
833	` hedgerose heights inn the '	404-233-7673	continental
834	` heera of india '	404-876-4408	indian
835	` indigo coastal grill '	404-876-0676	eclectic
836	` la grotta '	404-231-1368	italian
837	` mary mac \ 's tea room '	404-876-1800	southern/soul
838	` nikolai \ 's roof '	404-221-6362	continental
839	` pano \ 's & paul \ 's '	404-261-3662	` american ( new ) '
840	` ritz-carlton cafe ( buckhead ) '	404-237-2700	` american ( new ) '
841	` ritz-carlton dining room ( buckhead ) '	404-237-2700	` american ( new ) '
842	` ritz-carlton restaurant '	404-659-0400	` french ( classic ) '
843	toulouse	404-351-9533	` french ( new ) '
844	` veni vidi vici '	404-875-8424	italian
845	` alain rondelli '	415-387-0408	` french ( new ) '
846	aqua	415-956-9662	` american ( new ) '
847	boulevard	415-543-6084	` american ( new ) '
848	` cafe claude '	415-392-3505	` french bistro '
849	` campton place '	415-955-5555	` american ( new ) '
850	` chez michel '	415-775-7036	californian
851	` fleur de lys '	415-673-7779	` french ( new ) '
852	fringale	415-543-0573	` french bistro '
853	` hawthorne lane '	415-777-9779	californian
854	` khan toke thai house '	415-668-6654	thai
855	` la folie '	415-776-5577	` french ( new ) '
856	` lulu restaurant-bis-cafe '	415-495-5775	mediterranean
857	` masa \ 's '	415-989-7154	` french ( new ) '
858	mifune	415-922-0337	japanese
859	` plumpjack cafe '	415-563-4755	` american ( new ) '
860	postrio	415-776-7825	californian
861	` ritz-carlton dining room ( san francisco ) '	415-296-7465	` french ( new ) '
862	` rose pistola '	415-399-0499	italian
863	` ritz-carlton cafe ( atlanta ) '	404-659-0400	` american ( new ) '
